,Title,Author,Publisher,Description,Weeks on List,Date,Main Category,Subcategory
5,THE ONE AND ONLY,Katherine Applegate,HarperCollins,"The stories of Ivan, Bob and Ruby.",8,2023-07-09,CHILDREN,Children’s Series
6,THE INHERITANCE GAMES,Jennifer Lynn Barnes,"Little, Brown",Avery Grambs tries to figure out why an inheritance from a stranger was bestowed upon her.,43,2023-07-09,CHILDREN,Children’s Series
7,WINGS OF FIRE,Tui T. Sutherland,Scholastic,Only the five dragonets of destiny can unite the seven warring dragon tribes.,210,2023-07-09,CHILDREN,Children’s Series
8,CAPTAIN UNDERPANTS,tten and illustrated by Dav Pilkey,Scholastic,Boys and their principal fight evil.,319,2023-07-09,CHILDREN,Children’s Series
9,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,A boy battles mythological monsters.,678,2023-07-09,CHILDREN,Children’s Series
0,SOLITAIRE,Alice Oseman,Scholastic,"Tori Spring is determined to find out who's behind the blog called Solitaire, which has caused serious pranks at her school.",8,2023-07-09,CHILDREN,Young Adult Hardcover
1,FIVE SURVIVE,Holly Jackson,Delacorte,Six friends on a spring break road trip in an R.V. are the target of a sniper.,30,2023-07-09,CHILDREN,Young Adult Hardcover
2,NICK AND CHARLIE,Alice Oseman,Scholastic,Nick and Charlie question whether their love is strong enough to survive being apart when Nick leaves for university.,25,2023-07-09,CHILDREN,Young Adult Hardcover
3,GIRLS LIKE GIRLS,Hayley Kiyoko,Wednesday,Two girls struggle with their feelings for each other.,4,2023-07-09,CHILDREN,Young Adult Hardcover
4,THE LITTLE MERMAID: AGAINST THE TIDE,J. Elle,Disney,"Ariel and her siblings must find their abducted sister, Mala, before the Coral Moon approaches.",11,2023-07-09,CHILDREN,Young Adult Hardcover
5,THE FIRST TO DIE AT THE END,Adam Silvera,Quill Tree,"In this prequel to ""They Both Die at the End,"" Orion and Valentino attend the premiere of Death-Cast in Times Square.",38,2023-07-09,CHILDREN,Young Adult Hardcover
6,YOU'RE NOT SUPPOSED TO DIE TONIGHT,Kalynn Bayron,Bloomsbury,"Charity, a counselor at a horror-simulation camp, finds herself in a real-life thriller.",1,2023-07-09,CHILDREN,Young Adult Hardcover
7,LIGHTLARK,Alex Aster,Amulet,Every 100 years the island of Lightlark appears and a deadly competition called the Centennial takes place.,44,2023-07-09,CHILDREN,Young Adult Hardcover
8,THE STOLEN HEIR,Holly Black,"Little, Brown",Runaway Queen Suren and Prince Oak embark on a deadly and dangerous mission to the north.,20,2023-07-09,CHILDREN,Young Adult Hardcover
9,WARRIOR GIRL UNEARTHED,Angeline Boulley,Holt,Perry and Pauline Firekeeper-Birch discover that a local university is holding on to deceased Anishinaabe remains.,7,2023-07-09,CHILDREN,Young Adult Hardcover
0,THE FIVE-STAR WEEKEND,Elin Hilderbrand,"Little, Brown","After a tragedy, a popular food blogger brings friends from distinct times in her life to spend a weekend in Nantucket.",1,2023-07-02,FICTION,Combined Print & E-Book Fiction
1,"LOVE, THEORETICALLY",Ali Hazelwood,Berkley,A theoretical physicist finds her theories on love are tested by an experimental physicist.,1,2023-07-02,FICTION,Combined Print & E-Book Fiction
2,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,32,2023-07-02,FICTION,Combined Print & E-Book Fiction
3,HAPPY PLACE,Emily Henry,Berkley,A former couple pretend to be together for the sake of their friends during their annual getaway in Maine.,8,2023-07-02,FICTION,Combined Print & E-Book Fiction
4,IT ENDS WITH US,Colleen Hoover,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.,105,2023-07-02,FICTION,Combined Print & E-Book Fiction
5,FOURTH WING,Rebecca Yarros,Red Tower,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",7,2023-07-02,FICTION,Combined Print & E-Book Fiction
6,ICEBREAKER,Hannah Grace,Atria,Anastasia might need the help of the captain of a college hockey team to get on the Olympic figure skating team.,5,2023-07-02,FICTION,Combined Print & E-Book Fiction
7,IT STARTS WITH US,Colleen Hoover,Atria,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend.",35,2023-07-02,FICTION,Combined Print & E-Book Fiction
8,VERITY,Colleen Hoover,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,80,2023-07-02,FICTION,Combined Print & E-Book Fiction
9,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,A movie icon recounts stories of her loves and career to a struggling magazine writer.,101,2023-07-02,FICTION,Combined Print & E-Book Fiction
10,CROSS DOWN,James Patterson and Brendan DuBois,"Little, Brown",John Sampson seeks justice after Alex Cross gets injured.,2,2023-07-02,FICTION,Combined Print & E-Book Fiction
11,THE COVENANT OF WATER,Abraham Verghese,Grove,Three generations of a family living on South India’s Malabar Coast suffer the loss of a family member by drowning.,7,2023-07-02,FICTION,Combined Print & E-Book Fiction
12,TWISTED LOVE,Ana Huang,Bloom,The first book in the Twisted series. Secrets emerge when Ava explores things with her brother’s best friend.,1,2023-07-02,FICTION,Combined Print & E-Book Fiction
13,DEMON COPPERHEAD,Barbara Kingsolver,Harper,Winner of a 2023 Pulitzer Prize for fiction. A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,19,2023-07-02,FICTION,Combined Print & E-Book Fiction
14,MEET ME AT THE LAKE,Carley Fortune,Berkley,"A decade after a one-day adventure, Will appears again in Fern’s life at her mother’s lakeside resort.",6,2023-07-02,FICTION,Combined Print & E-Book Fiction
0,THE FIVE-STAR WEEKEND,Elin Hilderbrand,"Little, Brown","After a tragedy, a popular food blogger brings friends from distinct times in her life to spend a weekend in Nantucket.",1,2023-07-02,FICTION,Hardcover Fiction
1,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,58,2023-07-02,FICTION,Hardcover Fiction
2,HAPPY PLACE,Emily Henry,Berkley,A former couple pretend to be together for the sake of their friends during their annual getaway in Maine.,8,2023-07-02,FICTION,Hardcover Fiction
3,CROSS DOWN,James Patterson and Brendan DuBois,"Little, Brown",John Sampson seeks justice after Alex Cross gets injured.,2,2023-07-02,FICTION,Hardcover Fiction
4,THE COVENANT OF WATER,Abraham Verghese,Grove,Three generations of a family living on South India’s Malabar Coast suffer the loss of a family member by drowning.,7,2023-07-02,FICTION,Hardcover Fiction
5,DEMON COPPERHEAD,Barbara Kingsolver,Harper,Winner of a 2023 Pulitzer Prize for fiction. A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,33,2023-07-02,FICTION,Hardcover Fiction
6,FOURTH WING,Rebecca Yarros,Red Tower,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",6,2023-07-02,FICTION,Hardcover Fiction
7,HELLO BEAUTIFUL,Ann Napolitano,Dial,"In a homage to Louisa May Alcott’s “Little Women,” a young man’s dark past resurfaces as he gets to know the family of his college sweetheart.",14,2023-07-02,FICTION,Hardcover Fiction
8,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.,37,2023-07-02,FICTION,Hardcover Fiction
9,IDENTITY,Nora Roberts,St. Martin's,"After her roommate is killed by a con artist, a former Army brat builds a new life at her mother's home in Vermont.",4,2023-07-02,FICTION,Hardcover Fiction
10,LADY TAN'S CIRCLE OF WOMEN,Lisa See,Scribner,Tan Yunxian learns the pillars of Chinese medicine from her grandmother but is sent into an arranged marriage and pressured by her mother-in-law.,2,2023-07-02,FICTION,Hardcover Fiction
11,SIMPLY LIES,David Baldacci,Grand Central,A former detective becomes the prime suspect in a murder case involving a man with mob ties who was in witness protection.,9,2023-07-02,FICTION,Hardcover Fiction
12,YELLOWFACE,R.F. Kuang,Morrow,"June Hayward, a struggling writer, must conceal the fact that she stole Athena Liu’s just-finished masterpiece after Liu’s sudden death.",4,2023-07-02,FICTION,Hardcover Fiction
13,REMARKABLY BRIGHT CREATURES,Shelby Van Pelt,Ecco,A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there.,18,2023-07-02,FICTION,Hardcover Fiction
14,CLIVE CUSSLER: FIRE STRIKE,Mike Maden,Putnam,The 17th book in the Oregon Files series. Juan Cabrillo’s crew takes on a force of bio-hacked soldiers.,2,2023-07-02,FICTION,Hardcover Fiction
0,"LOVE, THEORETICALLY",Ali Hazelwood,Berkley,A theoretical physicist finds her theories on love are tested by an experimental physicist.,1,2023-07-02,FICTION,Paperback Trade Fiction
1,ICEBREAKER,Hannah Grace,Atria,Anastasia might need the help of the captain of a college hockey team to get on the Olympic figure skating team.,18,2023-07-02,FICTION,Paperback Trade Fiction
2,IT ENDS WITH US,Colleen Hoover,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.,111,2023-07-02,FICTION,Paperback Trade Fiction
3,IT STARTS WITH US,Colleen Hoover,Atria,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend.",35,2023-07-02,FICTION,Paperback Trade Fiction
4,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,A movie icon recounts stories of her loves and career to a struggling magazine writer.,119,2023-07-02,FICTION,Paperback Trade Fiction
5,VERITY,Colleen Hoover,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,97,2023-07-02,FICTION,Paperback Trade Fiction
6,TWISTED LOVE,Ana Huang,Bloom,The first book in the Twisted series. Secrets emerge when Ava explores things with her brother’s best friend.,1,2023-07-02,FICTION,Paperback Trade Fiction
7,THE HOUSEMAID,Freida McFadden,Grand Central,Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.,8,2023-07-02,FICTION,Paperback Trade Fiction
8,MEET ME AT THE LAKE,Carley Fortune,Berkley,"A decade after a one-day adventure, Will appears again in Fern’s life at her mother’s lakeside resort.",7,2023-07-02,FICTION,Paperback Trade Fiction
9,UGLY LOVE,Colleen Hoover,Atria,A casual sexual relationship between Tate and Miles becomes more complicated than they expected.,99,2023-07-02,FICTION,Paperback Trade Fiction
10,BEACH READ,Emily Henry,Berkley,A relationship develops between a literary fiction author and a romance novelist as they both try to overcome writer’s block.,53,2023-07-02,FICTION,Paperback Trade Fiction
11,FAIRY TALE,Stephen King,Scribner,A high school kid inherits the keys to a shed that is a portal to another world where good and evil are at war.,2,2023-07-02,FICTION,Paperback Trade Fiction
12,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,96,2023-07-02,FICTION,Paperback Trade Fiction
13,EVERY SUMMER AFTER,Carley Fortune,Berkley,The love story of Percy and Sam is told over the course of six summers and one weekend.,14,2023-07-02,FICTION,Paperback Trade Fiction
14,HEART BONES,Colleen Hoover,Atria,"After an unexpected death prevents her from going to Penn State and and forces her to move in with her absent father, Beyah Grim has a summer fling with the rich guy next door.",19,2023-07-02,FICTION,Paperback Trade Fiction
0,THE WAGER,David Grann,Doubleday,The survivors of a shipwrecked British vessel on a secret mission during an imperial war with Spain have different accounts of events.,9,2023-07-02,NONFICTION,Combined Print & E-Book Nonfiction
1,OUTLIVE,Peter Attia with Bill Gifford,Harmony,A look at recent scientific research on aging and longevity.,12,2023-07-02,NONFICTION,Combined Print & E-Book Nonfiction
2,THE IN-BETWEEN,Hadley Vlahos,Ballantine,A hospice nurse shares some of her most impactful experiences and questions some of society's beliefs around end-of-life care.,1,2023-07-02,NONFICTION,Combined Print & E-Book Nonfiction
3,PAGEBOY,Elliot Page,Flatiron,The Oscar-nominated star details discovering himself as a trans person and navigating abuse in Hollywood.,2,2023-07-02,NONFICTION,Combined Print & E-Book Nonfiction
4,KILLERS OF THE FLOWER MOON,David Grann,Doubleday,"The story of a murder spree in 1920s Oklahoma that targeted Osage Indians, whose lands contained oil.",81,2023-07-02,NONFICTION,Combined Print & E-Book Nonfiction
5,1964,Paul McCartney,Liveright,A collection of photographs taken with a 35-millimeter camera during the rise of the Beatles from the end of 1963 through early 1964.,1,2023-07-02,NONFICTION,Combined Print & E-Book Nonfiction
6,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",147,2023-07-02,NONFICTION,Combined Print & E-Book Nonfiction
7,I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,The actress and filmmaker describes her eating disorders and difficult relationship with her mother.,45,2023-07-02,NONFICTION,Combined Print & E-Book Nonfiction
8,TALKING TO STRANGERS,Malcolm Gladwell,"Little, Brown",Famous examples of miscommunication serve as the backdrop to explain potential conflicts and misunderstandings.,33,2023-07-02,NONFICTION,Combined Print & E-Book Nonfiction
9,CRYING IN H MART,Michelle Zauner,Vintage,"The daughter of a Korean mother and Jewish American father, and leader of the indie rock project Japanese Breakfast, describes creating her own identity after losing her mother to cancer.",65,2023-07-02,NONFICTION,Combined Print & E-Book Nonfiction
10,THE BOOK OF CHARLIE,David Von Drehle,Simon & Schuster,The Washington Post columnist shares stories and wisdom he learned from a neighbor who was more than a century old.,4,2023-07-02,NONFICTION,Combined Print & E-Book Nonfiction
11,MY FRIEND ANNE FRANK,Hannah Pick-Goslar with Dina Kraft,"Little, Brown Spark",A memoir by the Holocaust survivor who was first referred to as Lies Goosens in Anne Frank’s diary.,1,2023-07-02,NONFICTION,Combined Print & E-Book Nonfiction
12,THE PUPPETEERS,Jason Chaffetz,Broadside,The Fox News contributor and former congressman argues that liberals remain in power no matter who gets elected.,2,2023-07-02,NONFICTION,Combined Print & E-Book Nonfiction
13,SPARE,Prince Harry,Random House,"The Duke of Sussex details his struggles with the royal family, loss of his mother, service in the British Army and marriage to Meghan Markle.",23,2023-07-02,NONFICTION,Combined Print & E-Book Nonfiction
14,SOLITO,Javier Zamora,Hogarth,The poet describes his journey over two months from El Salvador to the United States to reconnect with his parents who left years earlier.,6,2023-07-02,NONFICTION,Combined Print & E-Book Nonfiction
0,THE WAGER,David Grann,Doubleday,The survivors of a shipwrecked British vessel on a secret mission during an imperial war with Spain have different accounts of events.,9,2023-07-02,NONFICTION,Hardcover Nonfiction
1,OUTLIVE,Peter Attia with Bill Gifford,Harmony,A look at recent scientific research on aging and longevity.,12,2023-07-02,NONFICTION,Hardcover Nonfiction
2,PAGEBOY,Elliot Page,Flatiron,The Oscar-nominated star details discovering himself as a trans person and navigating abuse in Hollywood.,2,2023-07-02,NONFICTION,Hardcover Nonfiction
